license,CC BY-NC 4.0,
reference,https://doi.org/10.1016/j.joule.2020.08.002,
comment,"Average of FR, CH, AT, SI in Lombardi’s paper",GR in Lombardi’s paper
techs,export_electricity,import_electricity
timesteps,,
2015-01-01 00:00:00,-0.04656,0.0511
2015-01-01 01:00:00,-0.041065,0.049
2015-01-01 02:00:00,-0.037715,0.0391
2015-01-01 03:00:00,-0.03565,0.03587
2015-01-01 04:00:00,-0.0333,0.0334
2015-01-01 05:00:00,-0.03405,0.03657
2015-01-01 06:00:00,-0.03677,0.0391
2015-01-01 07:00:00,-0.03754,0.04521
2015-01-01 08:00:00,-0.036745,0.04
2015-01-01 09:00:00,-0.03679,0.0408
2015-01-01 10:00:00,-0.037215,0.0388
2015-01-01 11:00:00,-0.03717,0.0388
2015-01-01 12:00:00,-0.03607,0.03885
2015-01-01 13:00:00,-0.035275,0.0388
2015-01-01 14:00:00,-0.038565,0.03885
2015-01-01 15:00:00,-0.043915,0.04995
2015-01-01 16:00:00,-0.052305,0.05469
2015-01-01 17:00:00,-0.059635,0.0619
2015-01-01 18:00:00,-0.060655,0.0582
2015-01-01 19:00:00,-0.0585,0.05444
2015-01-01 20:00:00,-0.056,0.05222
2015-01-01 21:00:00,-0.05088,0.05012
2015-01-01 22:00:00,-0.044985,0.046
2015-01-01 23:00:00,-0.041365,0.043
2015-01-02 00:00:00,-0.037905,0.0485
2015-01-02 01:00:00,-0.03609,0.0391
2015-01-02 02:00:00,-0.035555,0.037
2015-01-02 03:00:00,-0.035185,0.033
2015-01-02 04:00:00,-0.03552,0.03419
2015-01-02 05:00:00,-0.037305,0.03885
2015-01-02 06:00:00,-0.0423,0.05135
2015-01-02 07:00:00,-0.050195,0.05615
2015-01-02 08:00:00,-0.054755,0.06398
2015-01-02 09:00:00,-0.054805,0.06398
2015-01-02 10:00:00,-0.051545,0.06475
2015-01-02 11:00:00,-0.046745,0.06304
2015-01-02 12:00:00,-0.043325,0.05792
2015-01-02 13:00:00,-0.04268,0.05792
2015-01-02 14:00:00,-0.046335,0.0661
2015-01-02 15:00:00,-0.05097,0.06996
