license,CC BY-NC 4.0 (all data),,,,,
reference,https://doi.org/10.1016/j.joule.2020.08.002 (all data),,,,,
comment,Averaged capacity factors for sub-regions in Lombardi’s study.,,,,,
nodes,NORD,CNOR,CSUD,SUD,SICI,SARD
techs,wind,wind,wind,wind,wind,wind
parameters,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,,,
2015-01-01 00:00:00,0.1026,0.176066666666667,0.1097,0.184075,0.0286,0.1348
2015-01-01 01:00:00,0.11343125,0.188233333333333,0.128166666666667,0.205,0.0242,0.1241
2015-01-01 02:00:00,0.1179375,0.201733333333333,0.144933333333333,0.22485,0.0223,0.1138
2015-01-01 03:00:00,0.120025,0.207066666666667,0.1535,0.238175,0.0211,0.1057
2015-01-01 04:00:00,0.12246875,0.220566666666667,0.1613,0.244375,0.0198,0.1072
2015-01-01 05:00:00,0.1302875,0.230933333333333,0.173033333333333,0.2432,0.0186,0.1187
2015-01-01 06:00:00,0.15496875,0.231233333333333,0.184966666666667,0.24115,0.0173,0.1376
2015-01-01 07:00:00,0.17405,0.2253,0.201666666666667,0.22845,0.0141,0.1504
2015-01-01 08:00:00,0.16761875,0.227666666666667,0.198666666666667,0.201325,0.0081,0.1671
2015-01-01 09:00:00,0.1634125,0.2649,0.269766666666667,0.268025,0.0117,0.2267
2015-01-01 10:00:00,0.192425,0.382333333333333,0.381166666666667,0.349325,0.0258,0.2483
2015-01-01 11:00:00,0.207525,0.4132,0.438166666666667,0.3963,0.0455,0.2731
2015-01-01 12:00:00,0.211975,0.4306,0.455166666666667,0.4416,0.069,0.2937
2015-01-01 13:00:00,0.21905,0.454233333333333,0.448,0.470675,0.0923,0.3007
2015-01-01 14:00:00,0.2156875,0.481966666666667,0.4484,0.46125,0.1114,0.2767
2015-01-01 15:00:00,0.2083875,0.492533333333333,0.481866666666667,0.482175,0.1324,0.2585
2015-01-01 16:00:00,0.21108125,0.4886,0.520733333333333,0.51565,0.149,0.2879
2015-01-01 17:00:00,0.2088125,0.491166666666667,0.536166666666667,0.546325,0.1605,0.3209
2015-01-01 18:00:00,0.1974,0.5134,0.541166666666667,0.570225,0.1701,0.3524
2015-01-01 19:00:00,0.17183125,0.534866666666667,0.555533333333333,0.59535,0.1808,0.3747
2015-01-01 20:00:00,0.15529375,0.5297,0.568133333333333,0.605275,0.1952,0.3466
2015-01-01 21:00:00,0.1253375,0.540033333333333,0.583366666666667,0.6074,0.2189,0.3299
2015-01-01 22:00:00,0.13865,0.5563,0.586233333333333,0.607,0.2408,0.338
2015-01-01 23:00:00,0.19476875,0.569233333333333,0.585066666666667,0.607,0.2545,0.35
2015-01-02 00:00:00,0.23071875,0.601066666666667,0.586533333333333,0.608775,0.2524,0.3791
2015-01-02 01:00:00,0.26466875,0.638966666666667,0.596233333333333,0.60465,0.2435,0.4074
2015-01-02 02:00:00,0.2683875,0.672133333333333,0.617233333333333,0.603875,0.2498,0.4961
2015-01-02 03:00:00,0.26300625,0.6935,0.644333333333333,0.59245,0.2788,0.5996
2015-01-02 04:00:00,0.2538,0.701933333333333,0.658866666666667,0.575625,0.3318,0.6907
2015-01-02 05:00:00,0.27480625,0.709066666666667,0.6769,0.56825,0.3885,0.7629
2015-01-02 06:00:00,0.34564375,0.705166666666667,0.702733333333333,0.571575,0.4056,0.8094
2015-01-02 07:00:00,0.43413125,0.6668,0.716266666666667,0.554225,0.3822,0.8282
2015-01-02 08:00:00,0.4975125,0.604833333333333,0.725533333333333,0.563175,0.4115,0.8688
2015-01-02 09:00:00,0.51905,0.611366666666667,0.748366666666667,0.6827,0.5553,0.9001
2015-01-02 10:00:00,0.5293375,0.676766666666667,0.7582,0.741875,0.637,0.9184
2015-01-02 11:00:00,0.53319375,0.6878,0.750933333333333,0.74245,0.6657,0.9242
2015-01-02 12:00:00,0.5444875,0.6262,0.7127,0.726725,0.7143,0.9232
