nodes,techs,parameters,values
CNOR,bioenergy,flow_cap_initial,235700
CNOR,ccgt,flow_cap_initial,2000000
CNOR,coal,flow_cap_initial,150000
CNOR,geothermal,flow_cap_initial,768000
CNOR,hydropower,flow_cap_initial,1100900
CNOR,oil,flow_cap_initial,1280000
CNOR,pv,flow_cap_initial,2270800
CNOR,waste,flow_cap_initial,23000
CNOR,wind,flow_cap_initial,133600
CSUD,battery_phs,flow_cap_initial,1681600
CSUD,battery_phs,storage_cap_initial,155740200
CSUD,bioenergy,flow_cap_initial,367400
CSUD,ccgt,flow_cap_initial,8800000
CSUD,coal,flow_cap_initial,1845000
CSUD,hydropower,flow_cap_initial,1053400
CSUD,pv,flow_cap_initial,2653800
CSUD,waste,flow_cap_initial,127700
CSUD,wind,flow_cap_initial,1632100
NORD,battery_phs,flow_cap_initial,5064300
NORD,battery_phs,storage_cap_initial,469050200
NORD,bioenergy,flow_cap_initial,2159900
NORD,ccgt,flow_cap_initial,20000000
NORD,hydropower,flow_cap_initial,11191600
NORD,pv,flow_cap_initial,8319100
NORD,waste,flow_cap_initial,384700
NORD,wind,flow_cap_initial,115600
SARD,battery_phs,flow_cap_initial,236900
SARD,battery_phs,storage_cap_initial,21942700
SARD,bioenergy,flow_cap_initial,86800
SARD,ccgt,flow_cap_initial,2400000
SARD,coal,flow_cap_initial,1072000
SARD,hydropower,flow_cap_initial,223800
SARD,oil,flow_cap_initial,320000
SARD,pv,flow_cap_initial,725900
SARD,waste,flow_cap_initial,3900
SARD,wind,flow_cap_initial,1005500
SICI,battery_phs,flow_cap_initial,573700
SICI,battery_phs,storage_cap_initial,53135400
SICI,bioenergy,flow_cap_initial,73100
SICI,ccgt,flow_cap_initial,2000000
SICI,hydropower,flow_cap_initial,145800
SICI,oil,flow_cap_initial,530000
SICI,pv,flow_cap_initial,1309200
SICI,wind,flow_cap_initial,1757600
SUD,bioenergy,flow_cap_initial,480200
SUD,ccgt,flow_cap_initial,8800000
SUD,coal,flow_cap_initial,3060000
SUD,hydropower,flow_cap_initial,946700
SUD,oil,flow_cap_initial,1738000
SUD,pv,flow_cap_initial,3501900
SUD,waste,flow_cap_initial,32700
SUD,wind,flow_cap_initial,4517600
