nodes,techs,parameters,values
No Unit,No Unit,No Unit,kilowatt
CNOR,bioenergy,flow_cap_initial,181000.0
CNOR,ccgt,flow_cap_initial,3119000.0
CNOR,coal,flow_cap_initial,196290.54348447616
CNOR,geothermal,flow_cap_initial,755000.0
CNOR,hydropower,flow_cap_initial,907000.0
CNOR,pv,flow_cap_initial,23000.0
CNOR,wind,flow_cap_initial,53000.0
CSUD,battery_phs,flow_cap_initial,1816000.0
CSUD,bioenergy,flow_cap_initial,72000.0
CSUD,ccgt,flow_cap_initial,6652000.0
CSUD,coal,flow_cap_initial,1825435.173995085
CSUD,geothermal,flow_cap_initial,11000.0
CSUD,hydropower,flow_cap_initial,712000.0
CSUD,pv,flow_cap_initial,236000.0
CSUD,wind,flow_cap_initial,807000.0
NORD,battery_phs,flow_cap_initial,4935900.0
NORD,bioenergy,flow_cap_initial,35000.0
NORD,ccgt,flow_cap_initial,23527200.0
NORD,coal,flow_cap_initial,2807743.4609487895
NORD,hydropower,flow_cap_initial,9332340.0
NORD,pv,flow_cap_initial,254000.0
NORD,waste,flow_cap_initial,173000.0
SARD,battery_phs,flow_cap_initial,240000.0
SARD,bioenergy,flow_cap_initial,36000.0
SARD,ccgt,flow_cap_initial,718000.0
SARD,coal,flow_cap_initial,1273982.4565727045
SARD,hydropower,flow_cap_initial,138000.0
SARD,oil,flow_cap_initial,150000.0
SARD,pv,flow_cap_initial,49000.0
SARD,wind,flow_cap_initial,553000.0
SICI,battery_phs,flow_cap_initial,580000.0
SICI,ccgt,flow_cap_initial,3637000.0
SICI,hydropower,flow_cap_initial,67000.0
SICI,oil,flow_cap_initial,866000.0
SICI,wind,flow_cap_initial,905000.0
SUD,bioenergy,flow_cap_initial,184000.0
SUD,ccgt,flow_cap_initial,7592000.0
SUD,coal,flow_cap_initial,2415474.8261955166
SUD,hydropower,flow_cap_initial,1054000.0
SUD,pv,flow_cap_initial,92000.0
SUD,wind,flow_cap_initial,2113000.0
