nodes,techs,parameters,values
CNOR,geothermal,flow_cap_max,768000
CNOR,hydropower,flow_cap_max,1100900
CNOR,waste,flow_cap_max,23000
CSUD,battery_phs,flow_cap_max,1681600
CSUD,battery_phs,storage_cap_max,155740200
CSUD,hydropower,flow_cap_max,1053400
CSUD,waste,flow_cap_max,127700
NORD,battery_phs,flow_cap_max,5064300
NORD,battery_phs,storage_cap_max,469050200
NORD,hydropower,flow_cap_max,11191600
NORD,waste,flow_cap_max,384700
SARD,battery_phs,flow_cap_max,236900
SARD,battery_phs,storage_cap_max,21942700
SARD,hydropower,flow_cap_max,223800
SARD,waste,flow_cap_max,3900
SICI,battery_phs,flow_cap_max,573700
SICI,battery_phs,storage_cap_max,53135400
SICI,hydropower,flow_cap_max,145800
SUD,hydropower,flow_cap_max,946700
SUD,waste,flow_cap_max,32700
