license,CC BY-NC 4.0,,,,,
reference,https://doi.org/10.1016/j.joule.2020.08.002,,,,,
comment,Averaged capacity factors for sub-regions in Lombardi’s study.,,,,,
nodes,NORD,CNOR,CSUD,SUD,SICI,SARD
techs,pv,pv,pv,pv,pv,pv
parameters,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,,,
2015-01-01 00:00:00,0,0,0,0,0,0
2015-01-01 01:00:00,0,0,0,0,0,0
2015-01-01 02:00:00,0,0,0,0,0,0
2015-01-01 03:00:00,0,0,0,0,0,0
2015-01-01 04:00:00,0,0,0,0,0,0
2015-01-01 05:00:00,0,0,0,0,0,0
2015-01-01 06:00:00,0,0,0.0002,0.012075,0.024,0
2015-01-01 07:00:00,0.00340625,0.016,0.0340666666666667,0.109375,0.2084,0.072
2015-01-01 08:00:00,0.0247125,0.0543333333333333,0.0956666666666667,0.21285,0.3719,0.194
2015-01-01 09:00:00,0.05695,0.0944666666666667,0.169566666666667,0.282625,0.4813,0.3342
2015-01-01 10:00:00,0.09270625,0.131066666666667,0.249233333333333,0.335225,0.543,0.4273
2015-01-01 11:00:00,0.1138625,0.120666666666667,0.2685,0.338575,0.5419,0.455
2015-01-01 12:00:00,0.11230625,0.0754,0.219966666666667,0.3086,0.4946,0.4124
2015-01-01 13:00:00,0.0979,0.0449333333333333,0.137633333333333,0.219225,0.392,0.3055
2015-01-01 14:00:00,0.05266875,0.0191,0.0484333333333333,0.08525,0.2341,0.1661
2015-01-01 15:00:00,0.00655,0.000233333333333333,0.00113333333333333,0.002325,0.0446,0.032
2015-01-01 16:00:00,0,0,0,0,0,0
2015-01-01 17:00:00,0,0,0,0,0,0
2015-01-01 18:00:00,0,0,0,0,0,0
2015-01-01 19:00:00,0,0,0,0,0,0
2015-01-01 20:00:00,0,0,0,0,0,0
2015-01-01 21:00:00,0,0,0,0,0,0
2015-01-01 22:00:00,0,0,0,0,0,0
2015-01-01 23:00:00,0,0,0,0,0,0
2015-01-02 00:00:00,0,0,0,0,0,0
2015-01-02 01:00:00,0,0,0,0,0,0
2015-01-02 02:00:00,0,0,0,0,0,0
2015-01-02 03:00:00,0,0,0,0,0,0
2015-01-02 04:00:00,0,0,0,0,0,0
2015-01-02 05:00:00,0,0,0,0,0,0
2015-01-02 06:00:00,0,3.33333333333333E-05,0.000766666666666667,0.0082,0.0039,0
2015-01-02 07:00:00,0.02065625,0.061,0.0967333333333333,0.11795,0.0679,0.1021
2015-01-02 08:00:00,0.11951875,0.156066666666667,0.223033333333333,0.25295,0.1693,0.2731
2015-01-02 09:00:00,0.226225,0.229933333333333,0.343233333333333,0.348325,0.2543,0.4076
2015-01-02 10:00:00,0.29488125,0.261066666666667,0.399333333333333,0.400875,0.3088,0.4936
2015-01-02 11:00:00,0.32154375,0.235366666666667,0.387133333333333,0.376675,0.3468,0.5237
2015-01-02 12:00:00,0.30865625,0.216166666666667,0.3164,0.30615,0.3491,0.4936
2015-01-02 13:00:00,0.2432375,0.207033333333333,0.198666666666667,0.208725,0.2838,0.4078
2015-01-02 14:00:00,0.13319375,0.1257,0.0911,0.09435,0.1938,0.2663
2015-01-02 15:00:00,0.0184,0.0139,0.00773333333333333,0.003325,0.0361,0.0801
2015-01-02 16:00:00,0,0,0,0,0,0
2015-01-02 17:00:00,0,0,0,0,0,0
2015-01-02 18:00:00,0,0,0,0,0,0
2015-01-02 19:00:00,0,0,0,0,0,0
2015-01-02 20:00:00,0,0,0,0,0,0
2015-01-02 21:00:00,0,0,0,0,0,0
2015-01-02 22:00:00,0,0,0,0,0,0
2015-01-02 23:00:00,0,0,0,0,0,0
2015-01-03 00:00:00,0,0,0,0,0,0
2015-01-03 01:00:00,0,0,0,0,0,0
2015-01-03 02:00:00,0,0,0,0,0,0
2015-01-03 03:00:00,0,0,0,0,0,0
2015-01-03 04:00:00,0,0,0,0,0,0
2015-01-03 05:00:00,0,0,0,0,0,0
2015-01-03 06:00:00,0,0.000233333333333333,0.00186666666666667,0.007975,0.0085,0
2015-01-03 07:00:00,0.103575,0.141733333333333,0.120033333333333,0.091175,0.1049,0.1221
2015-01-03 08:00:00,0.284675,0.3108,0.257766666666667,0.1865,0.2205,0.293
2015-01-03 09:00:00,0.41148125,0.427766666666667,0.360133333333333,0.2687,0.3283,0.4121
2015-01-03 10:00:00,0.48726875,0.488833333333333,0.418966666666667,0.3383,0.4088,0.4879
2015-01-03 11:00:00,0.50496875,0.497766666666667,0.425966666666667,0.3634,0.423,0.5121
2015-01-03 12:00:00,0.4627,0.456133333333333,0.3928,0.3473,0.3817,0.4852
2015-01-03 13:00:00,0.36285625,0.3626,0.317766666666667,0.27545,0.294,0.406
2015-01-03 14:00:00,0.2056125,0.213133333333333,0.186433333333333,0.1436,0.159,0.272
2015-01-03 15:00:00,0.02925,0.0258666666666667,0.0188666666666667,0.00705,0.0245,0.0898
2015-01-03 16:00:00,0,0,0,0,0,0
2015-01-03 17:00:00,0,0,0,0,0,0
2015-01-03 18:00:00,0,0,0,0,0,0
2015-01-03 19:00:00,0,0,0,0,0,0
2015-01-03 20:00:00,0,0,0,0,0,0
2015-01-03 21:00:00,0,0,0,0,0,0
2015-01-03 22:00:00,0,0,0,0,0,0
2015-01-03 23:00:00,0,0,0,0,0,0
2015-01-04 00:00:00,0,0,0,0,0,0
2015-01-04 01:00:00,0,0,0,0,0,0
2015-01-04 02:00:00,0,0,0,0,0,0
2015-01-04 03:00:00,0,0,0,0,0,0
